,Movie Id,Genre,Release Date,Rating,Summary,Shooting Location,Budget in USD,Awards,Popular
39,CSNTUTMQL,Thriller,05/12/2004,9.095578528,A group of college students get more than they bargained for when they participate in a mysterious psychological experiment.,London,53828432.66,1,0
9,LEAMRNMCY,Comedy,11/07/2009,7.378809069,A heartwarming story about a dog who brings two lonely people together.,Tokyo,84563547.83,1,0
73,VVVWGSGEA,Science Fiction,24/04/1993,8.803556058,"When a deadly virus spreads through a crowded city, a team of first responders must race against time to contain the outbreak.",Paris,77091134.4,2,1
41,UPRENROVH,Action,24/08/1990,4.521522312,"When a powerful artifact is stolen from a museum, a team of experts must track down the thief before it falls into the wrong hands.",Sydney,3463237.578,0,0
23,BOWIWAOIF,Romance,21/01/1991,8.553404279,A thought-provoking film that explores the meaning of life and the human condition.,London,71861213.04,2,0
3,LJGXQGXAG,Science Fiction,26/09/1984,7.621433368,A group of misfit heroes must band together to stop a villainous plot that threatens to unleash chaos upon the world.,Tokyo,20867955.92,1,1
46,HFQFUEBAN,Drama,22/10/1982,9.105995492,"A documentary film that sheds light on a social or environmental issue, raising awareness and sparking important conversations.",Sydney,85398757.45,2,0
90,TPMJMZVSF,Fantasy,19/02/2013,9.926754488,A visually stunning animated film that will captivate audiences of all ages.,Sydney,11651437.78,2,1
50,YSSSQXLPS,Horror,02/08/2005,9.19416907,A young girl with extraordinary powers must learn to control her abilities before they consume her.,New York,19287159.12,0,0
3,HWJKDBRFJ,Science Fiction,07/11/2020,8.194076942,A group of misfit heroes must band together to stop a villainous plot that threatens to unleash chaos upon the world.,Tokyo,27999492.2,1,0
31,LRSVQUBIW,Adventure,05/03/2005,8.950557018,A group of survivors must navigate a treacherous landscape filled with monsters and mutants to reach safety.,Paris,1275154.39,2,1
9,TKLTTOXMS,Comedy,06/12/2001,8.86055291,A heartwarming story about a dog who brings two lonely people together.,Tokyo,2217748.852,0,0
10,MTIBKUHHS,Fantasy,13/12/1997,9.21581998,"In a world where magic is forbidden, a young sorceress must harness her hidden powers to save her homeland from destruction.",Tokyo,57810277.07,2,1
27,FKYCEUREG,Animation,29/11/2005,8.232750437,A high-octane action movie with stunning visuals and jaw-dropping stunts.,Toronto,5973684.464,1,0
45,DDMCOWOYY,Science Fiction,07/07/1985,8.555159387,"In a dystopian future, a group of rebels fights against a totalitarian regime that controls people's minds.",London,10013323.9,1,1
71,QCTDWQRNR,Foreign,19/08/2010,6.624841091,A captivating story of forbidden love between a young woman and a member of the royal family.,Paris,39586369.68,0,0
39,NXQQHYNRB,Thriller,07/06/2007,5.026595297,A group of college students get more than they bargained for when they participate in a mysterious psychological experiment.,Paris,68556235.81,0,0
61,FMPZMBYFH,Fantasy,01/03/2003,9.794340902,"When a priceless artifact is stolen from a museum, a master thief is hired to retrieve it at any cost.",Los Angeles,32353639.05,2,0
85,VCDXYAXNS,Drama,07/12/2009,8.308732221,"When a mysterious artifact is unearthed in the desert, an archaeologist embarks on a perilous journey to unlock its ancient secrets.",Los Angeles,79891133.73,1,0
97,OJBPSCSPK,Action,05/01/1983,9.247228231,"In a future where humanity is on the brink of extinction, a group of survivors must fight for their lives against a horde of alien invaders.",New York,16783334.98,2,0
44,GIWCKFUUL,Horror,14/10/2019,9.18999862,A group of college students get more than they bargained for when they spend a weekend at a haunted house.,New York,20976194.85,1,0
34,FJXWSZUNA,Action,29/01/1995,9.350936454,A suspenseful psychological thriller that keeps you guessing until the very end.,Paris,4901651.891,0,0
34,ZGOROMBUD,Action,09/05/2004,9.601451097,A suspenseful psychological thriller that keeps you guessing until the very end.,Sydney,72757191.7,2,0
88,QSDZEVVTO,Fantasy,20/07/2010,9.17061985,A team of explorers ventures into the depths of the ocean to uncover ancient ruins and unlock the secrets of the past.,Sydney,69291232.97,2,0
33,KIGINIRUJ,Science Fiction,07/09/1982,9.146901622,A disgraced former soldier is recruited by a secret organization to stop a terrorist threat that could plunge the world into chaos.,Tokyo,83582563.1,0,0
5,WVAAMBQPO,Crime,15/06/2000,9.845288127,A captivating foreign film that showcases the beauty and richness of a different culture.,Los Angeles,77279667.02,2,1
36,AXZWNJBSW,Mystery,12/11/2011,9.106025162,"When a series of strange events plague a small town, a group of teenagers must uncover the truth behind the mystery before it's too late.",New York,1542938.974,2,0
0,HZCGMMZPA,Science Fiction,18/12/1988,7.471861913,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Paris,57469218.53,1,0
75,YVUYNAMLV,Musical,14/09/2019,9.571750419,A high-stakes heist movie where a team of skilled criminals plan and execute a daring robbery.,Toronto,19992550.91,1,0
34,DEQAISEJP,Action,16/03/1992,9.463579006,A suspenseful psychological thriller that keeps you guessing until the very end.,Tokyo,6031005.627,2,0
69,UOOTLAAFW,Thriller,27/10/1981,8.249984014,A suspenseful thriller about a family trapped in their own home by a dangerous intruder.,London,88210342.05,1,1
53,PERNNBIJB,Animation,29/10/2008,8.476273169,A captivating musical film that will transport you with its stunning visuals and powerful music.,Tokyo,,2,0
80,ADCGGLDMW,Fantasy,18/02/1994,9.52703644,A group of social media influencers trapped on a deserted island must learn to survive and work together without their usual luxuries.,Los Angeles,40001195.56,2,0
62,BYNBXJKQJ,Family,07/07/2007,8.904951066,A group of archaeologists uncover a hidden tomb filled with ancient treasures and deadly curses.,Sydney,43103687.62,2,0
8,UFUEANRCP,Thriller,08/09/1990,8.509741644,"A group of friends reunite for a weekend getaway at a remote cabin, only to discover a dark secret from their past.",Tokyo,87563153.86,2,0
61,WJAJVQAWP,Fantasy,03/03/2008,9.5907119,"When a priceless artifact is stolen from a museum, a master thief is hired to retrieve it at any cost.",Los Angeles,45144551.86,1,1
1,OOWTNEXRK,Thriller,30/03/1984,8.336887126,A thrilling survival story about a group of people stranded in a dangerous situation and their fight for survival.,London,65626814.94,1,1
81,YJAMGDQUL,Documentary,15/01/1984,9.043151537,This documentary explores the cutthroat world of competitive ballroom dancing.,Tokyo,25086379.95,1,0
35,SNZFBJLAM,Comedy,26/08/1987,7.431353462,"A disgraced chef sets out on a road trip to open a new food truck, reconnecting with his estranged son along the way.",London,50810477.69,1,1
91,XOQZALANX,Adventure,28/11/2008,8.679573234,A group of explorers ventures deep into the Amazon rainforest in search of a lost civilization.,Los Angeles,46537000.93,0,0
40,TGQXGUQMQ,Fantasy,29/10/2008,9.337098428,A coming-of-age story about a young woman who discovers her family's magical heritage.,Los Angeles,9091750.787,1,0
36,SPDZOFRNN,Mystery,17/02/2008,7.870110005,"When a series of strange events plague a small town, a group of teenagers must uncover the truth behind the mystery before it's too late.",Los Angeles,77614924.95,1,0
48,IJOMOJJPT,Thriller,30/11/2013,9.696120216,A group of teenagers form a secret society dedicated to solving mysteries and uncovering hidden truths in their town.,Sydney,14673944.22,1,1
25,BLNZMTKIX,Thriller,23/04/1996,9.904137639,"In a world ruled by machines, a lone rebel fights to free humanity from its cybernetic overlords.",Paris,39594570.72,2,0
67,VDOCRTPLU,Fantasy,27/07/1987,9.774924775,A young inventor builds a time machine and embarks on a journey through history to save the future.,Los Angeles,81932191.36,1,1
35,NTEQWRBZC,Comedy,26/06/1998,5.757873224,"A disgraced chef sets out on a road trip to open a new food truck, reconnecting with his estranged son along the way.",New York,54638588.2,0,0
30,QTHHBGBUR,Science Fiction,20/09/1996,8.495559321,A group of astronauts on a mission to Mars encounter a strange alien life form that threatens their survival.,Tokyo,35272097.98,2,1
29,XTVSYLZZZ,Adventure,24/04/1993,8.053567371,"In a world where dragons roam the skies, a young dragon rider must unite the kingdoms against a common enemy.",Sydney,71385405.52,1,1
33,GESCUYHQI,Science Fiction,28/01/2006,8.16084734,A disgraced former soldier is recruited by a secret organization to stop a terrorist threat that could plunge the world into chaos.,Toronto,6886968.1,1,0
18,SPJXDSWNA,Action,15/03/2014,8.876305485,"When a group of astronauts crash-lands on a distant planet, they must fight for survival against the planet's hostile inhabitants.",Toronto,68680070.07,2,0
17,PAIXYKJGF,Drama,26/03/2012,8.197990704,"A brilliant scientist invents a revolutionary new technology that could change the world, but faces ethical dilemmas about its potential consequences.",Paris,77950879.76,0,0
93,DOHSIIFZA,Thriller,30/09/2016,8.787048187,"A group of astronauts embarks on a mission to explore a distant planet, but they soon discover they are not alone.",London,70198983.55,1,0
84,WBBXUHFBX,Mystery,18/11/2018,8.415834576,"A young orphan discovers a magical world hidden within her own imagination, where she must confront her deepest fears to save the kingdom from darkness.",London,111445410,0,0
2,YJCVXEUEE,Fantasy,25/04/2012,9.592387031,A legendary swordsman embarks on a quest to avenge his fallen master and restore honor to his name.,New York,31288230.23,1,0
69,WRNLFOJMF,Thriller,23/06/1993,5.318657616,A suspenseful thriller about a family trapped in their own home by a dangerous intruder.,Tokyo,75502914.5,0,0
12,HJGSFNEXX,Crime,20/09/1996,7.634890944,A young woman discovers she possesses magical abilities and must learn to control them before they endanger herself and others.,Sydney,21126753.99,1,1
44,CMYSGKNSJ,Horror,05/09/2007,7.253471558,A group of college students get more than they bargained for when they spend a weekend at a haunted house.,New York,48872528.26,0,0
66,NCQPXNEVJ,Adventure,19/04/1994,4.062027584,A disgraced lawyer takes on a seemingly unwinnable case and fights for justice against all odds.,Toronto,50739352.08,0,0
91,ADKVVYHCU,Adventure,16/03/1992,7.929632489,A group of explorers ventures deep into the Amazon rainforest in search of a lost civilization.,Sydney,73297247.68,0,0
85,FCZFXZDIG,Drama,23/08/2012,8.782546232,"When a mysterious artifact is unearthed in the desert, an archaeologist embarks on a perilous journey to unlock its ancient secrets.",Tokyo,2435749.426,2,0
39,IQRMUKAJM,Thriller,27/02/2006,9.087251333,A group of college students get more than they bargained for when they participate in a mysterious psychological experiment.,Toronto,89990859.08,2,1
39,OYCCCJBSM,Thriller,14/11/2005,4.846093086,A group of college students get more than they bargained for when they participate in a mysterious psychological experiment.,Sydney,13472460.04,0,0
75,LCUVMOVIQ,Musical,01/05/2000,8.926459844,A high-stakes heist movie where a team of skilled criminals plan and execute a daring robbery.,London,32689898.23,1,0
22,JHHQJCPSZ,Western,12/09/1992,7.40436615,A group of unlikely heroes band together to protect their community from a band of ruthless outlaws.,New York,60695272.67,1,0
30,NYZHGGCQD,Science Fiction,14/03/2006,9.457148011,A group of astronauts on a mission to Mars encounter a strange alien life form that threatens their survival.,Toronto,2734418.866,2,1
17,NQHTXTSAT,Drama,23/01/2007,9.259005808,"A brilliant scientist invents a revolutionary new technology that could change the world, but faces ethical dilemmas about its potential consequences.",London,45091258.03,1,0
70,QAWJZAMXB,Comedy,27/06/1987,7.499995949,"A talented chef travels the world, collecting culinary inspirations and sharing their passion for food with others.",Tokyo,2176850.473,1,0
71,UEDIQCHOW,Foreign,01/05/1989,8.979072823,A captivating story of forbidden love between a young woman and a member of the royal family.,New York,23623063.39,0,0
18,IVILMJJMN,Action,21/06/1999,7.517022811,"When a group of astronauts crash-lands on a distant planet, they must fight for survival against the planet's hostile inhabitants.",Sydney,82837456.93,1,0
92,LFTAPBQUY,Mystery,30/07/2000,4.621739023,A captivating foreign film that explores the complexities of family relationships and cultural traditions.,New York,28464975.18,0,0
43,QNOLVYUVA,Science Fiction,20/12/1993,6.247941256,"A group of scientists develop a revolutionary new technology that could change the world, but face ethical dilemmas in its application.",Paris,84882552.37,0,0
83,FHWXTNKDP,Western,22/07/2007,5.797042249,This historical drama explores the pivotal events that led to the American Revolution.,Paris,35547209.32,0,0
49,UHZYWGGGK,History,12/05/2009,5.894139151,A historical drama that explores the life and legacy of a powerful female ruler.,Tokyo,51530869.08,0,0
41,MIIRDXMAF,Action,06/01/1991,9.568625539,"When a powerful artifact is stolen from a museum, a team of experts must track down the thief before it falls into the wrong hands.",Tokyo,66912195.87,1,0
93,ZLDPSJPTP,Thriller,04/01/2005,4.394791515,"A group of astronauts embarks on a mission to explore a distant planet, but they soon discover they are not alone.",New York,75183306.28,0,0
46,PMOYPRFNY,Drama,01/05/2000,9.489948958,"A documentary film that sheds light on a social or environmental issue, raising awareness and sparking important conversations.",Sydney,5097255.422,1,0
21,FMDHLDILS,Adventure,26/05/2020,7.407318408,"In a post-apocalyptic world overrun by zombies, a group of survivors must band together to find sanctuary and rebuild civilization.",Paris,32825403.45,1,0
73,XHXJSHQAB,Science Fiction,16/06/1997,8.218233694,"When a deadly virus spreads through a crowded city, a team of first responders must race against time to contain the outbreak.",Tokyo,6702307.736,1,0
89,GAFFQQVJA,Family,28/11/2008,8.342235078,A suspenseful crime thriller that follows a detective unraveling a complex mystery.,New York,87566121.56,0,0
96,KKJSNYZWC,Fantasy,22/12/1990,9.416118735,"When a global conspiracy threatens to unravel society, a lone hacker must expose the truth before it's too late.",Sydney,24928230.23,2,0
91,YKMTPCPZQ,Adventure,16/11/2002,3.356350872,A group of explorers ventures deep into the Amazon rainforest in search of a lost civilization.,Tokyo,38168607.93,0,0
73,FKAOUXNVL,Science Fiction,14/11/2005,8.238055562,"When a deadly virus spreads through a crowded city, a team of first responders must race against time to contain the outbreak.",Los Angeles,38028397.23,1,0
28,YHZKCSHGI,Drama,03/11/2018,5.828395937,A talented young musician struggles to overcome her stage fright and achieve her dreams.,Toronto,,0,0
81,WJUMACGOI,Documentary,14/11/1986,9.817223457,This documentary explores the cutthroat world of competitive ballroom dancing.,Paris,12433916.68,1,0
58,DAXQUIPTY,Horror,12/11/2011,9.542755019,"A group of teenagers explore a seemingly abandoned house, only to discover it's haunted by a vengeful spirit.",Tokyo,22393207.62,2,1
0,FJFWIDQIM,Science Fiction,21/03/2013,3.451049766,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Sydney,55988988.9,0,0
86,DRCBUFPEM,Drama,02/12/1991,9.119325792,A renowned pianist grapples with the loss of his hearing as he prepares for his final performance.,Sydney,71681670.13,2,1
63,VASXRQGIF,Documentary,19/12/2007,9.683937655,A historical drama that sheds light on a significant historical figure or event.,London,76017249.37,2,1
16,KEJSZEMFH,Sports,18/05/1986,8.862343948,A down-on-their-luck athlete gets a second chance at glory when they're recruited for a ragtag team with championship aspirations.,New York,22344860.57,2,0
36,NZLLQNLIS,Mystery,01/01/2022,5.012316718,"When a series of strange events plague a small town, a group of teenagers must uncover the truth behind the mystery before it's too late.",New York,17963307.6,0,0
94,UJHIVEJFY,Mystery,04/01/2005,7.590360952,"In a future where emotions are outlawed, a rebel group fights to restore freedom and individuality to society.",Paris,42105834.36,1,1
24,EZZORFUHV,Musical,17/09/2013,9.268663904,A group of talented singers compete for a life-changing opportunity in a nationwide singing competition.,Paris,43681959.92,2,0
63,FEOFZDHDS,Documentary,02/01/1989,8.58283654,A historical drama that sheds light on a significant historical figure or event.,Sydney,33416197.22,0,0
67,ISCADHWQI,Fantasy,04/09/1999,9.971731314,A young inventor builds a time machine and embarks on a journey through history to save the future.,New York,32105127.29,1,1
51,VOBDCDEYG,Mystery,17/01/2000,8.896109679,A series of seemingly unrelated events leads a group of strangers to discover a hidden conspiracy that threatens their lives.,Sydney,66116720.43,2,0
8,JUDMTVPMP,Thriller,11/04/1990,9.482337513,"A group of friends reunite for a weekend getaway at a remote cabin, only to discover a dark secret from their past.",Sydney,88153640.03,2,1
56,LIGVMGJQW,Mystery,07/06/2007,7.497111115,"In a world where dreams are harvested for profit, a young dreamweaver rebels against the system to reclaim her freedom.",Tokyo,2146461.7,1,1
91,NYPFBRFKE,Adventure,07/04/1999,7.417460277,A group of explorers ventures deep into the Amazon rainforest in search of a lost civilization.,Toronto,10828862.05,1,0
93,UBWNUILDP,Thriller,19/03/2016,9.606677089,"A group of astronauts embarks on a mission to explore a distant planet, but they soon discover they are not alone.",Paris,22356243.7,2,0
87,VNPOHBIMZ,History,07/02/1985,9.481616042,A group of musicians from different backgrounds form a band and find success through their unique blend of musical styles.,Paris,79711978.69,1,0
32,CQHWCEMRO,War,02/07/1986,8.615435735,A group of World War II veterans reunite decades later to share their stories and commemorate their fallen comrades.,New York,78859828.23,2,1
19,CABTUKHCL,Drama,25/04/1982,8.23661631,A heartwarming family film that celebrates the importance of family and togetherness.,New York,37209132.66,0,0
72,JGPCEPHVL,Science Fiction,29/04/1984,8.419126703,A heartwarming romantic comedy about two people who find love in the most unexpected of places.,Tokyo,36667818.42,2,0
71,PLMMWUYDX,Foreign,24/11/2006,7.495969236,A captivating story of forbidden love between a young woman and a member of the royal family.,New York,40513614.11,1,1
87,NQXKPSJBI,History,08/05/1996,8.685835746,A group of musicians from different backgrounds form a band and find success through their unique blend of musical styles.,Los Angeles,4367228.587,2,1
13,TSBUYBIPX,Foreign,26/01/2012,9.27466697,A heartwarming story about a dog who brings joy and companionship to a lonely widower.,Sydney,78012443.74,2,0
58,PQFLDCKQY,Horror,10/01/1993,9.926707224,"A group of teenagers explore a seemingly abandoned house, only to discover it's haunted by a vengeful spirit.",Tokyo,63782172.96,1,0
81,PGEZUAFLC,Documentary,24/11/2006,5.528426706,This documentary explores the cutthroat world of competitive ballroom dancing.,Sydney,29616816.49,0,0
55,FJZNYLRDL,Comedy,13/08/1992,5.712016606,A down-on-his-luck salesman gets a second chance at life when he discovers a magical briefcase that grants wishes.,London,3139807.427,0,0
64,TFCQUJXPV,Adventure,04/02/1983,8.971271797,"A lost civilization is rediscovered deep within the Amazon rainforest, revealing secrets of the past.",Tokyo,,2,0
75,REAIFDNCX,Musical,20/03/2005,8.915897594,A high-stakes heist movie where a team of skilled criminals plan and execute a daring robbery.,Los Angeles,29720574.9,1,0
92,PGVFTSFFQ,Mystery,12/03/2020,8.91524225,A captivating foreign film that explores the complexities of family relationships and cultural traditions.,London,27344078.22,2,0
36,REHAFDJSN,Mystery,18/07/2005,5.98138977,"When a series of strange events plague a small town, a group of teenagers must uncover the truth behind the mystery before it's too late.",Tokyo,79884509.21,0,0
25,FEMXUQXDW,Thriller,29/11/2005,9.000180305,"In a world ruled by machines, a lone rebel fights to free humanity from its cybernetic overlords.",New York,71756161.43,1,0
32,FCSYCKMXE,War,30/04/1981,9.329062722,A group of World War II veterans reunite decades later to share their stories and commemorate their fallen comrades.,London,18165532.39,2,1
42,UGSHZVOLF,Action,21/10/1993,5.04967247,A young woman discovers she is the chosen one destined to bring balance to the universe in a time of great turmoil.,Toronto,81576705.55,0,0
14,XJNAHHIUV,Fantasy,17/09/2013,8.740765747,"When a deadly virus spreads across the globe, a team of scientists races against time to develop a cure before humanity is wiped out.",Paris,49784729.47,2,0
86,ZFMIJEXDV,Drama,01/06/2008,8.841332048,A renowned pianist grapples with the loss of his hearing as he prepares for his final performance.,Toronto,27990795.84,2,0
28,DODHMQRIE,Drama,03/09/2021,9.451351899,A talented young musician struggles to overcome her stage fright and achieve her dreams.,New York,12583072.66,2,1
20,WKICQQUWW,Comedy,26/02/1998,7.02497997,A bumbling office worker accidentally becomes a social media sensation with hilarious consequences.,Tokyo,84812031.94,0,0
82,HLCHWZXUW,Drama,20/08/1988,9.92460181,A high-powered lawyer takes on a seemingly unwinnable case to defend a client accused of a shocking crime.,New York,6858527.271,2,1
68,HJELNZSSL,Fantasy,25/09/2017,9.213411321,A mythical creature awakens from its slumber and threatens to destroy a peaceful kingdom.,New York,24298764.94,1,0
22,DTPZRJZIQ,Western,10/09/2017,8.588501021,A group of unlikely heroes band together to protect their community from a band of ruthless outlaws.,New York,75654760.32,0,0
99,ZLUUJTJZC,Horror,05/02/2021,8.882422237,A thought-provoking science fiction film that explores the potential consequences of technological advancements.,Paris,25831381.55,2,0
83,ETTUAHGCR,Western,15/07/2000,8.978070916,This historical drama explores the pivotal events that led to the American Revolution.,New York,43795605,2,1
7,MBNVIZIBJ,Comedy,22/07/1985,7.457851373,"A high school robotics team builds a robot that becomes a national sensation, teaching them valuable lessons about friendship and teamwork.",Paris,70801508.61,0,0
72,HDAULAPAD,Science Fiction,04/12/2007,6.457532181,A heartwarming romantic comedy about two people who find love in the most unexpected of places.,Tokyo,53598840.16,0,0
61,ZMYOHYZGK,Fantasy,23/09/2020,9.37114496,"When a priceless artifact is stolen from a museum, a master thief is hired to retrieve it at any cost.",Los Angeles,64478355.52,2,0
13,RTUIWOFJC,Foreign,08/06/2004,9.286597009,A heartwarming story about a dog who brings joy and companionship to a lonely widower.,Paris,28780992.56,2,1
5,OHJEPTPOB,Crime,20/02/1991,8.587889791,A captivating foreign film that showcases the beauty and richness of a different culture.,New York,18665147.73,2,0
0,VAUNKJRXC,Science Fiction,15/04/1981,9.192668441,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Paris,166180714,0,0
8,SLZVXXRSK,Thriller,07/04/2018,8.431409762,"A group of friends reunite for a weekend getaway at a remote cabin, only to discover a dark secret from their past.",Toronto,15879353.87,2,1
79,CLMWWLRYJ,Crime,27/10/1992,6.81139564,"A cunning art thief plans their most daring heist yet, targeting a priceless artifact from a heavily guarded museum.",London,48969097.63,0,0
79,KRDUXRXWZ,Crime,18/09/2010,6.039011384,"A cunning art thief plans their most daring heist yet, targeting a priceless artifact from a heavily guarded museum.",Tokyo,75959401.95,0,0
53,TTGGFQHVE,Animation,29/08/2011,5.002352733,A captivating musical film that will transport you with its stunning visuals and powerful music.,New York,54472075.52,0,0
11,TZHLRGYPV,Science Fiction,30/01/1984,9.715411521,A group of friends embark on a hilarious road trip filled with misadventures and unexpected discoveries.,Toronto,57810700.51,2,0
4,TKHBIJIXL,Horror,26/01/1990,8.55871377,A forbidden love blossoms between a vampire and a mortal in a world where supernatural beings are shunned by society.,Toronto,25557851.19,1,1
39,UBFRTJWOR,Thriller,23/08/1982,8.626203692,A group of college students get more than they bargained for when they participate in a mysterious psychological experiment.,London,89121084.46,0,0
92,BUFKBEPPQ,Mystery,01/01/1981,8.469228522,A captivating foreign film that explores the complexities of family relationships and cultural traditions.,London,27175073.89,1,0
45,FUAMHBNEH,Science Fiction,13/09/1989,9.369241204,"In a dystopian future, a group of rebels fights against a totalitarian regime that controls people's minds.",Paris,32811629.98,2,1
26,LISDDZFMO,Family,22/06/1985,9.76466274,A single parent struggles to raise their children while balancing work and pursuing their own dreams.,London,35340268.22,1,1
74,OVVWCITSV,Action,15/10/2005,8.323062222,"A reclusive writer discovers a portal to another dimension in his attic, leading him on a journey of self-discovery and adventure.",New York,85545291.86,0,0
52,SMLHUVDAE,Thriller,31/05/1989,4.964956602,"In a kingdom plagued by darkness, a young prince must wield the legendary sword of light to restore peace and harmony.",Sydney,55350924.84,0,0
49,ETAFNACKN,History,10/10/1987,9.26677114,A historical drama that explores the life and legacy of a powerful female ruler.,London,6383715.216,2,0
91,WXZZBFKFW,Adventure,09/09/1998,9.311447855,A group of explorers ventures deep into the Amazon rainforest in search of a lost civilization.,Toronto,125032220,2,1
51,ZLDJEEJEA,Mystery,08/07/2004,9.148311824,A series of seemingly unrelated events leads a group of strangers to discover a hidden conspiracy that threatens their lives.,Toronto,14055746.56,1,1
99,SUHDANMFH,Horror,24/03/1985,8.316920515,A thought-provoking science fiction film that explores the potential consequences of technological advancements.,Toronto,13339712.27,1,1
18,XVGMXAFVZ,Action,29/10/2019,9.696386781,"When a group of astronauts crash-lands on a distant planet, they must fight for survival against the planet's hostile inhabitants.",London,53936306.59,1,0
34,PQQBWYEPZ,Action,21/10/2004,6.276544513,A suspenseful psychological thriller that keeps you guessing until the very end.,Paris,32329469.93,0,0
51,TRUBBGDCK,Mystery,11/04/2001,7.410835696,A series of seemingly unrelated events leads a group of strangers to discover a hidden conspiracy that threatens their lives.,New York,49110769.7,1,0
30,XQOHENQYT,Science Fiction,22/11/2020,9.261174785,A group of astronauts on a mission to Mars encounter a strange alien life form that threatens their survival.,Sydney,56238605.92,0,0
53,SEHCMNJFJ,Animation,10/08/2009,8.710279279,A captivating musical film that will transport you with its stunning visuals and powerful music.,Los Angeles,44415969.86,2,0
58,YLZCFPPOB,Horror,28/05/2017,8.90044337,"A group of teenagers explore a seemingly abandoned house, only to discover it's haunted by a vengeful spirit.",Tokyo,20169842.16,2,0
43,GBLJLWVDB,Science Fiction,02/12/2021,8.890887236,"A group of scientists develop a revolutionary new technology that could change the world, but face ethical dilemmas in its application.",Los Angeles,9227654.616,1,0
55,MMAKZQGUP,Comedy,02/06/1986,8.409527812,A down-on-his-luck salesman gets a second chance at life when he discovers a magical briefcase that grants wishes.,Los Angeles,27733375.68,0,0
18,ZYGGYJYVW,Action,28/04/2006,8.142476746,"When a group of astronauts crash-lands on a distant planet, they must fight for survival against the planet's hostile inhabitants.",New York,48927914.91,1,1
45,WTTPUMXVC,Science Fiction,29/06/2003,9.100850828,"In a dystopian future, a group of rebels fights against a totalitarian regime that controls people's minds.",New York,25862423.66,2,0
87,VRVVQHCJB,History,16/10/1994,9.095076893,A group of musicians from different backgrounds form a band and find success through their unique blend of musical styles.,London,35868251.96,2,0
65,FYTXZJKBE,Drama,16/02/2000,7.994225179,A heartwarming animated film that teaches valuable life lessons through humor and adventure.,Tokyo,81607730.21,0,0
70,LKRSPSPKC,Comedy,10/10/1987,9.156826435,"A talented chef travels the world, collecting culinary inspirations and sharing their passion for food with others.",Paris,3343784.718,2,1
53,EJHQEKLEP,Animation,15/02/2011,3.175109737,A captivating musical film that will transport you with its stunning visuals and powerful music.,New York,8362390.064,0,0
48,VBAETIFAA,Thriller,23/04/1996,8.250012718,A group of teenagers form a secret society dedicated to solving mysteries and uncovering hidden truths in their town.,New York,73985547.55,0,0
94,TQICNAYOM,Mystery,11/04/2001,8.490931406,"In a future where emotions are outlawed, a rebel group fights to restore freedom and individuality to society.",London,,2,0
59,QWBKSJWBF,Animation,11/12/1992,4.421859831,A group of animals embark on a daring rescue mission to save one of their own from a dangerous situation.,Tokyo,75067065.57,0,0
80,KBMPROVPV,Fantasy,29/09/2019,8.918584419,A group of social media influencers trapped on a deserted island must learn to survive and work together without their usual luxuries.,Toronto,56611787.07,2,1
26,NRULJPWRG,Family,08/04/2007,9.599703109,A single parent struggles to raise their children while balancing work and pursuing their own dreams.,Sydney,10738059.85,2,1
35,EWHCYPVDI,Comedy,10/01/2004,6.745492106,"A disgraced chef sets out on a road trip to open a new food truck, reconnecting with his estranged son along the way.",Paris,30751048.34,0,0
58,XBHSFRVNP,Horror,05/08/1988,6.675521743,"A group of teenagers explore a seemingly abandoned house, only to discover it's haunted by a vengeful spirit.",Tokyo,86581454.83,0,0
49,RNYWLOYNO,History,17/11/1991,8.943424289,A historical drama that explores the life and legacy of a powerful female ruler.,Tokyo,16720146.5,1,1
73,HERYNJNFA,Science Fiction,20/01/1983,9.856504509,"When a deadly virus spreads through a crowded city, a team of first responders must race against time to contain the outbreak.",London,37795798.82,2,1
44,TKULWWIOQ,Horror,01/04/2011,3.49890783,A group of college students get more than they bargained for when they spend a weekend at a haunted house.,Sydney,28350559.7,0,0
13,SBOXZDXMZ,Foreign,23/03/1988,7.938176687,A heartwarming story about a dog who brings joy and companionship to a lonely widower.,Toronto,46373545.12,0,0
70,YYCKAARCQ,Comedy,04/07/2002,9.163433298,"A talented chef travels the world, collecting culinary inspirations and sharing their passion for food with others.",Los Angeles,39660581.22,2,0
38,LEGUFGJPW,Musical,20/02/2010,8.626007857,A heartwarming documentary film about a group of individuals who are making a positive impact on the world.,New York,83935455.49,2,1
39,SWVGLXHUW,Thriller,07/02/2007,9.077638742,A group of college students get more than they bargained for when they participate in a mysterious psychological experiment.,Los Angeles,74524394.9,1,0
8,GEEMOIGDM,Thriller,25/06/2001,8.592142877,"A group of friends reunite for a weekend getaway at a remote cabin, only to discover a dark secret from their past.",Toronto,52653703.43,1,0
13,BWRZWAWBF,Foreign,02/04/2019,9.271291795,A heartwarming story about a dog who brings joy and companionship to a lonely widower.,Los Angeles,30712202.9,2,1
7,BOWNZREVP,Comedy,24/01/1985,8.029315744,"A high school robotics team builds a robot that becomes a national sensation, teaching them valuable lessons about friendship and teamwork.",Los Angeles,67850545.81,1,0
